type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Movie,Finding Dory,"Andrew Stanton, Angus MacLane","Ellen DeGeneres,Albert Brooks,Ed O'Neill,Kaitlin Olson,Hayden Rolence,Ty Burrell",United States,2019-11-12,2016,PG,98,"Action-Adventure,Animation,Comedy",Dory sets off on a life-changing adventure to find her family.
Movie,Finding Nemo,Andrew Stanton,"Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Brad Garrett,Allison Janney","United States, Australia",2019-11-12,2003,G,103,"Action-Adventure,Animation,Comedy",Marlin makes an epic journey to bring Nemo home when he's taken by divers.
Movie,First Kid,David Evans,"Sinbad ,Robert Guillaume,Timothy Busfield,Brock Pierce,James Naughton,Art Fleur",United States,2019-11-12,1996,PG,102,"Buddy,Comedy,Coming of Age",A wisecracking Secret Service agent is assigned to the President's son.
Movie,Flight of the Navigator,Randal Kleiser,"Joey Cramer,Veronica Cartwright,Cliff De Young,Sarah Parker,Matt Adler,Howard Hesseman",United States,2019-11-12,1986,PG,90,"Action-Adventure,Science Fiction",A boy mysteriously gains knowledge of the farthest reaches of the universe.
Movie,Float,Bobby Rubio,"Eli Fucile,Bobby Rubio,Luna Watson,Mika Kubo",United States,2019-11-12,2019,PG,10,"Animation,Family,Fantasy","A father hides his unusual son, and then must face the consequences."
Movie,Flowers and Trees,Burt Gillett,0,United States,2019-11-12,1932,TV-Y7,8,"Animation,Family,Kids","It's spring, and the flowers, mushrooms, and trees come to life. See details for advisory."
Movie,Flubber,Les Mayfield,"Robin Williams,Marcia Harden,Christopher McDonald,Raymond Barry,Clancy Brown,Ted Levine",United States,2019-11-12,1997,PG,96,"Comedy,Family,Science Fiction",Phillip hopes his super-bouncy goo will save his college and his wedding.
Movie,Food for Feudin',Charles Nichols,0,United States,2019-11-12,1950,TV-G,7,"Animation,Comedy,Family",The chipmunks and Pluto battle over a supply of nuts. See details for advisory.
Movie,For the Birds,Ralph Eggleston,0,United States,2019-11-12,2001,G,4,"Animation,Comedy,Family",Small birds mock a big bird who tries to sit with them
Movie,Forky Asks a Question: What is Money?,Bob Peterson,"Tony Hale,John Ratzenberger,Bob Peterson",United States,2019-11-12,2019,TV-G,6,"Animation,Comedy,Family",Hamm attempts to give Forky a lesson on how the US monetary system works.
Movie,Frank and Ollie,Theodore Thomas,"Frank Thomas,Ollie Johnston,Sylvia Roemer,John Canemaker,John Culhane,Marie Johnston",United States,2019-11-12,1995,PG,89,"Biographical,Documentary",Share the story of famed Disney animators Frank Thomas and Ollie Johnston.
Movie,Frankenweenie (Short),Tim Burton,"Shelley Duvall,Daniel Stern,Barret Oliver",United States,2019-11-12,1984,PG,27,"Drama,Parody,Science Fiction",Victor harnesses the power of science to bring his dog Sparky back to life.
Movie,Freaky Friday,Mark Waters,"Jamie Curtis,Lindsay Lohan,Harold Gould,Chad Murray,Stephen Tobolowsky,Christina Vidal",United States,2019-11-12,2003,PG,98,"Comedy,Family,Fantasy",A mother and daughter see things a bit differently when they switch bodies.
Movie,Free Solo,"Elizabeth Vasarhelyi, Jimmy Chin","Alex Honnold,Tommy Caldwell",United States,2019-11-12,2018,TV-PG,101,"Action-Adventure,Documentary,Sports",Free solo climber Alex Honnold prepares to scale El Capitan in Yosemite without a rope.
Movie,Frenemies,Daisy Mayer,"Zendaya ,Bella Thorne,Mary Mouser,Nick Robinson,Stefanie Scott,Connor Price",United States,2019-11-12,2012,TV-G,88,"Anthology,Comedy,Coming of Age",Three very different sets of friends experience growing pains.
Movie,Frozen,"Chris Buck, Jennifer Lee","Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad,Santino Fontana,Alan Tudyk",United States,2019-11-12,2013,PG,105,"Animation,Family,Fantasy","Anna and Kristoff brave the elements, racing to save Elsa and the kingdom."
Movie,Full-Court Miracle,Stuart Gillard,"Alex Linz,R.H. Thomson,Sean Marquette,Jase Blankfort,Erik Knudsen,David Sazant",United States,2019-11-12,2003,TV-G,95,"Coming of Age,Drama,Sports",A former college star is convinced to coach a winless basketball team.
Movie,Fun and Fancy Free,"Jack Kinney, W. Roberts, Hamilton Luske","Edgar Bergen,Dinah Shore,Luana Patten,Clarence Nash,Mickey Mouse,Cliff Edwards",United States,2019-11-12,1947,G,74,"Action-Adventure,Animation,Comedy","Two classic featurettes starring Mickey, Donald, Goofy and Jiminy Cricket."
Movie,Fuzzbucket,Mick Garris,"Chris Hebert,Phil Fondacaro,Joe Regalbuto,Wendy Phillips,Robyn Lively,John Vernon",United States,2019-11-12,1986,TV-G,46,"Buddy,Comedy,Coming of Age",An invisible creature helps Mikey cope with junior high and family drama.
TV Show,Gargoyles,0,"Thom Hernandez,Edward Asner,Jeff Bennett,Keith David,Bill Fagerbakke,Jonathan Frakes",United States,2019-11-12,1994,TV-Y7,3,"Action-Adventure,Animation,Fantasy","In Scotland, 994 A.D. Goliath and his clan of gargoyles defend a medieval castle."
Movie,Geek Charming,Jeffrey Hornaday,"Sarah Hyland,Matt Prokop,Sasha Pieterse,Jordan Nichols,Vanessa Morgan,Lili Simmons",United States,2019-11-12,2011,TV-G,99,"Comedy,Coming of Age,Drama",Popular Dylan wants film geek Josh to help her be crowned Blossom Queen.
Movie,Genius,Rod Daniel,"Trevor Morgan,Emmy Rossum,Yannick Bisson,Peter Keleghan,Philip Granger,Charles Fleischer",United States,2019-11-12,1999,TV-G,86,"Comedy,Coming of Age",A teen genius juggles the roles of college student and junior high bad boy.
Movie,George & A.J.,Josh Cooley,"Jason Topolski,A.J. Riebli  III,Steve Purcell,Peter Sohn,Bob Peterson,Kim Donovan",United States,2019-11-12,2009,TV-G,4,"Animation,Comedy,Family",Two nurses try to escort seniors to the nursing home.
Movie,Geri's Game,Jan Pinkava,Bob Peterson,United States,2019-11-12,1997,G,5,"Animation,Family,Kids",Geri plays a daylong game of chess against himself.
Movie,Get a Clue,Maggie Greenwald,"Lindsay Lohan,Bug Hall,Ian Gomez,Brenda Song,Ali Mukadam,Dan Lett",United States,2019-11-12,2002,TV-G,84,"Drama,Mystery",A teenage gossip columnist takes on the case of her missing teacher.
Movie,Giants of the Deep Blue,Ken Corben,Bill Graves,0,2019-11-12,2018,TV-PG,45,"Animals & Nature,Documentary,Family",Go beneath the surface of the sea for an extraordinary look at whales and dolphins.
TV Show,Girl Meets World,0,"Rowan Blanchard,Ben Savage,Sabrina Carpenter,Peyton Meyer,August Maturo,Danielle Fishel",United States,2019-11-12,2013,TV-G,3,"Comedy,Coming of Age,Family",Riley and Maya traverse the twists of teenage years.
Movie,Go Figure,Francine McDougall,"Jordan Hinson,Whitney Sloan,Cristine Rose",United States,2019-11-12,2005,TV-G,89,"Coming of Age,Sports",A girl must embrace hockey if she wants to become a champion ice skater.
Movie,Going to the Mat,Stuart Gillard,"Andrew Lawrence,Khleo Thomas,Alessandra Toreson,Billy Brown,Brenda Strong,Brian Wimmer",United States,2019-11-12,2004,TV-G,92,"Coming of Age,Sports","At a new school, Jace overcomes his blindness through a love of wrestling."
TV Show,Good Luck Charlie,0,"Bridgit Mendler,Leigh-Allyn Baker,Bradley Perry,Mia Talerico,Eric Kramer,Jason Dolley",United States,2019-11-12,2009,TV-G,4,"Comedy,Coming of Age,Family",The Duncans are a typical family whose lives are turned topsy-turvy with the arrival of Charlie
Movie,"Good Luck Charlie, It's Christmas!",Arlene Sanford,"Bridgit Mendler,Leigh-Allyn Baker,Bradley Perry,Mia Talerico,Debra Monk,Michael Kagan",United States,2019-11-12,2011,TV-G,82,"Comedy,Coming of Age,Family",The Duncans need a miracle of their own to reunite in time for Christmas.
TV Show,Goof Troop,0,"Nancy Cartwright,Jim Cummings,Dana Hill,Rob Paulson,Corey Burton,Bill Farmer",United States,2019-11-12,1992,TV-Y7,1,"Animation,Comedy,Kids","Goofy is a single father raising his son, Max in Spoonerville."
Movie,Gotta Kick it Up,Ramon Menendez,"Camille Guaty,America Ferrera,Jhoanna Flores,Suilma Rodriguez,Sabrina Wiener,Miguel Sandoval",United States,2019-11-12,2002,TV-G,85,"Coming of Age,Dance,Drama",A new coach and her middle school dance team surprise all their doubters.
Movie,Grand Canyonscope,C. Nichols,0,United States,2019-11-12,1954,TV-G,7,"Animation,Comedy,Family",A park ranger has to keep Donald in check at the Grand Canyon. See details for advisory.
Movie,Grasshopper and the Ants,Wilfred Jackson,0,United States,2019-11-12,1934,TV-G,8,"Animation,Family,Music",A grasshopper learns a lesson about hard work. See details for advisory.
TV Show,Great Migrations,0,Alec Baldwin,United States,2019-11-12,2010,TV-PG,1,"Animals & Nature,Docuseries,Survival",An intimate and unprecedented view of animal migrations across the globe.
Movie,Greyfriars Bobby,Don Chaffey,"Donald Crisp,Laurence Naismith,Alex Mackenzie,Duncan Macrae,Andrew Cruickshank,Gordon Jackson",United States,2019-11-12,1961,TV-G,91,"Animals & Nature,Drama,Family",The story of friendship forged between a shepherd and his devoted dog.
Movie,Gus,Vincent McEveety,"Edward Asner,Don Knotts,Gary Grimes,Tim Conway,Liberty Williams,Dick Van Patten",United States,2019-11-12,1976,G,97,"Animals & Nature,Comedy,Family",A football team welcomes their newest member... a placekicking mule.
Movie,Halloweentown,Duwayne Dunham,"Debbie Reynolds,Judith Hoag,Kimberly Brown,Joey Zimmerman,Phillip Van Dyke,Emily Roeske",United States,2019-11-12,1998,TV-PG,84,"Action-Adventure,Comedy,Coming of Age",Marnie and her siblings discover their spooky heritage in Halloweentown.
Movie,Halloweentown High,Mark Dippé,"Kimberly Brown,Judith Hoag,Joey Zimmerman,Emily Roeske,Clifton Davis,Finn Wittrock",United States,2019-11-12,2004,TV-G,83,"Action-Adventure,Comedy,Fantasy",Marnie's magic is on the line as Halloweentown kids transfer to her school.
Movie,Halloweentown II: Kalabar's Revenge,Mary Lambert,"Kimberly Brown,Judith Hoag,Daniel Kountz,Joseph Zimmerman,Emily Roeske,Phillip Van Dyke",United States,2019-11-12,2001,TV-PG,81,"Action-Adventure,Fantasy",A warlock with a devious plan has stripped Halloweentown of its magic.
TV Show,Handy Manny,0,"Wilmer Valderrama,Carlos Alazraqui,Dee Baker,Nika Futterman,Tom Kenny,Kath Soucie","United States, Canada",2019-11-12,2006,TV-Y,3,"Animation,Kids","Handy Manny and his box of friendly, silly tools are the go-to guys in their neighborhood."
